ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;LOK_NR;LOK_NAVN;LOK_KOM;LOK_PLASS;LOK_KAP;LOK_ENHET
816984122;BIOFISH AS;TANGAVEGEN 19;5620;TØRVIKBYGD;12079;LJONESVÅGEN;KVAM;LAND;15000000;STK
826167572;HARDANGER FISKEFOREDLING AS;BÅTAVIKA 30;5630;STRANDEBARM;19395;BAKKA;KVAM;SJØ;600;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;11665;JIBBERSHOLMANE;ALVER;SJØ;3620;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;14018;TOSKA S;ALVER;SJØ;3620;TN
989867202;HARDINGSMOLT AS;LYSEVEGEN 20;5620;TØRVIKBYGD;13156;TØRVIKVATNET;KVAM;LAND;0;STK
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;13641;SAUVÅGEN HJELMÅS;ALVER;LAND;750000;STK
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;13341;BAKJESTRANDA;BREMANGER;SJØ;780;TN
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;12224;ISANE;BREMANGER;SJØ;780;TN
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;39477;HUNDVIKA AUST;STAD;SJØ;2340;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;13653;BJØRSVIK;ALVER;LAND;7500000;STK
995218402;NESFOSSEN SMOLT AS;LINDÅSVEGEN 1480;5956;HUNDVIN;11682;NESFOSSEN;ALVER;LAND;0;STK
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;10086;REKEVIKI;ALVER;SJØ;3120;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;11652;KJEPPEVIKHOLMEN;ALVER;SJØ;3900;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;13704;VIKANE;MASFJORDEN;SJØ;2340;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;11756;ALLERSHOLMEN;AUSTRHEIM;SJØ;1560;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;11754;BØØY;ALVER;SJØ;1560;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;11738;OTTERHOLMEN;ALVER;SJØ;3600;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;11667;GARDSKRÅNESET;ØYGARDEN;SJØ;3120;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;39577;SILDA;KINN;SJØ;2340;TN
971349077;HAVFORSKNINGSINSTITUTTET;POSTBOKS 1870 NORDNES;5817;BERGEN;10156;MATREDAL;MASFJORDEN;LAND;400000;STK
971349077;HAVFORSKNINGSINSTITUTTET;POSTBOKS 1870 NORDNES;5817;BERGEN;12154;SMØRDALEN;MASFJORDEN;SJØ;780;TN
971349077;HAVFORSKNINGSINSTITUTTET;POSTBOKS 1870 NORDNES;5817;BERGEN;13567;KNAPPEN SOLHEIM;MASFJORDEN;SJØ;780;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;13482;KVINGE S;MASFJORDEN;LAND;5000000;STK
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;11758;SAUØY;ØYGARDEN;SJØ;3120;TN
966451238;ERKO SEAFOOD AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;35517;VADHOLMEN;ØYGARDEN;SJØ;5460;TN
986201270;SALAR BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;10076;RYLANDSVÅG;ALVER;LAND;11500000;STK
983506925;BENCHMARK GENETICS NORWAY AS;BRADBENKEN 1;5003;BERGEN;14556;LØNNINGDAL III;BJØRNAFJORDEN;LAND;1000000;STK
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;12156;BLOM;OSTERØY;SJØ;3120;TN
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;28416;SANDVIK;VAKSDAL;SJØ;1170;TN
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;18898;SKAFTÅ;OSTERØY;SJØ;3120;TN
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;13644;TEPSTAD;OSTERØY;SJØ;5460;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;11687;RAMSVIK;ALVER;SJØ;2500;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;11690;GRASHOLMEN;ALVER;SJØ;3120;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;11649;STOLANE;ALVER;SJØ;3120;TN
0;LONE, ALF;SOLBJØRGSDALEN 143;5282;LONEVÅG;15235;SAGELVA;OSTERØY;LAND;0;STK
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;28516;SALTVERKET;OSTERØY;LAND;250000;STK
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;28517;KALVEHAGEN;OSTERØY;LAND;1750000;STK
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;13209;BOGNØY;ALVER;SJØ;1560;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;11775;KVITESKJERET;ASKVOLL;SJØ;3120;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;10319;ÅLVORA;KINN;SJØ;3120;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;11776;SVEHOLMANE;KINN;SJØ;2340;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;39437;HOVDEN;KINN;SJØ;3900;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;32337;VEIESUND;KINN;SJØ;3900;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;24455;KLAVELANDET;KINN;SJØ;3900;TN
958123701;STEINVIK FISKEFARM AS;SANDVIKSVEGEN 264;6940;EIKEFJORD;11783;HELLA;ASKVOLL;SJØ;3120;TN
936100112;BLOM SETTEFISK AS;ULVØYVEGEN 130;5337;RONG;10287;KVERNAVIKA;ØYGARDEN;LAND;0;STK
963079699;SOTRA FISKEINDUSTRI AS;PORSVIKA 57A;5381;GLESVÆR;18255;PORSVIKA;ØYGARDEN;SJØ;450;TN
963950837;SEKKINGSTAD AS;SKAGANESET;5382;SKOGSVÅG;20515;SKAGANESET;ØYGARDEN;SJØ;600;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;13823;ÅDLANDSVATN;STORD;LAND;2500000;STK
990011702;ERKO SETTEFISK AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;28216;SAGVÅG;STORD;LAND;0;STK
983664490;FJON BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;10060;FJON;SVEIO;LAND;20000000;STK
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;12131;SAGEN;SAMNANGER;LAND;250;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;32137;SAGEN 2;SAMNANGER;SJØ;780;TN
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;13826;FLATRÅKER;TYSNES;LAND;2500000;STK
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;13541;MIDTFLUA;TYSNES;SJØ;3120;TN
886813082;LERØY VEST AS;SKIPAVIKA 54;5397;BEKKJARVIK;14799;DJUPESTALLEN;TYSNES;SJØ;3120;TN
915267653;NORSK ØRRET AS;ABELNES 60;4404;FLEKKEFJORD;12139;KJÆREFJORD;TYSNES;LAND;2000000;STK
992259418;ONARHEIM BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;39977;ONARHEIM II;TYSNES;LAND;0;TN
840215512;BLOM FISKEOPPDRETT AS;ULVØYVEGEN 130;5337;RONG;38217;HARDBAKKENESET;GULEN;SJØ;3120;TN
966451238;ERKO SEAFOOD AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;11770;ROTØY;ØYGARDEN;SJØ;2340;TN
987723459;VIK SETTEFISK AS;ULVØYVEGEN 130;5337;RONG;13327;KVERNHUSVIKA;ØYGARDEN;LAND;2500000;STK
919073373;SALMO TERRA AS;ØRNEFJELLET 26;5174;MATHOPEN;38637;EIKEILEN;ØYGARDEN;LAND;8000;TN
828764292;HOFSETH AQUA AS;KIPERVIKGATA 13;6003;ÅLESUND;12839;VINDSNES;FJORD;SJØ;3120;TN
828764292;HOFSETH AQUA AS;KIPERVIKGATA 13;6003;ÅLESUND;13554;OVERÅNESET;STRANDA;SJØ;3120;TN
828764292;HOFSETH AQUA AS;KIPERVIKGATA 13;6003;ÅLESUND;45058;URDANESET;STRANDA;SJØ;3900;TN
828764292;HOFSETH AQUA AS;KIPERVIKGATA 13;6003;ÅLESUND;45134;BUGANE;SYKKYLVEN;SJØ;3120;TN
971572086;STIFTELSEN ATLANTERHAVSPARKEN - NORGES NASJONALE AKVARIUM;POSTBOKS 2090 SKARBØVIK;6028;ÅLESUND;12302;TUENESET;ÅLESUND;LAND;151;TN
985848718;LERØY MIDT AS;INDUSTRIPARKVEIEN 31;7246;SANDSTAD;29896;RENNDALEN;HEIM;SJØ;3120;TN
985848718;LERØY MIDT AS;INDUSTRIPARKVEIEN 31;7246;SANDSTAD;10229;FÆTTEN;HEIM;SJØ;4680;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;45129;KVITHOLMEN;SMØLA;SJØ;3600;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;45108;VÅGSHOLMEN;SMØLA;SJØ;3900;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;36917;DREVFLESA;ÅFJORD;SJØ;3120;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;31338;STORSKJERET;AURE;SJØ;7800;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;29116;REIRÅKLAKKEN;SMØLA;SJØ;6240;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;12483;HJORTHOLMAN;SMØLA;SJØ;4680;TN
935701643;NEKTON SETTEFISK AS;VESTSIDEVEIEN 3490;6570;SMØLA;12460;SAGOSEN;AURE;LAND;0;STK
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;32097;KORSNESET 2;HEIM;SJØ;4680;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;10224;KORSNESET;HEIM;SJØ;4680;TN
997848756;KJØRSVIKBUGEN SETTEFISK AS;DAUGSTADVEGEN 445;6392;VIKEBUKT;12415;KJØRSVIKBUGEN;AURE;LAND;20000000;STK
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;27436;SOLVÆRET;SMØLA;SJØ;8580;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;32597;FJORDPRAKKEN;SMØLA;SJØ;6240;TN
983957536;LUMARINE TJELDBERGODDEN AS;STADIONVEIEN 21;4632;KRISTIANSAND S;29616;TJELDBERGODDEN BIOPARK;AURE;LAND;16900000;STK
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;22335;STORVIKA;HUSTADVIKA;SJØ;5460;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;12988;AUKRASANDEN;AUKRA;SJØ;5460;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;12239;KRÅKNES;AUKRA;SJØ;3900;TN
988014036;VIKENCO AS;RINDARØYVEGEN 383;6480;AUKRA;27395;RINDARØY;AUKRA;SJØ;1000;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;32277;ANDHOLMEN 1;SMØLA;SJØ;5460;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;33617;GJERDE;AURE;SJØ;4680;TN
966840528;SALMAR FARMING AS;KVERVA;7266;KVERVA;36100;SUHOLMEN;SMØLA;SJØ;4680;TN
985848718;LERØY MIDT AS;INDUSTRIPARKVEIEN 31;7246;SANDSTAD;12879;ENDRESET;KRISTIANSUND;SJØ;6240;TN
985848718;LERØY MIDT AS;INDUSTRIPARKVEIEN 31;7246;SANDSTAD;17495;VULLUM;HEIM;SJØ;3120;TN
985848718;LERØY MIDT AS;INDUSTRIPARKVEIEN 31;7246;SANDSTAD;10216;SKÅREN;HEIM;SJØ;3120;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;10223;BREMNESSVAET;SMØLA;SJØ;7020;TN
