,localityNo,year,cleanerFish,comment,count,countCategory,countEstimated,countType,county,countyCode,createdDate,date,description,globalId,lastEditedDate,localityCapacity,localityName,municipalityNumber,objectId,parentId,recaptureDescription,recaptureStarted,recapturesCompleted,size,sizeEstimated,species,status,statusLocality,waterEnvironment,waterEnvironmentCode,week
141,11408,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,10964,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,12156,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,31857,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,12448,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,24915,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,11399,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,10212,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,10503,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,12252,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,13209,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,13284,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,12550,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,13143,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,10256,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,11248,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,11754,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,37237,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,15796,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,20876,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,11230,2022,False,,16,10-100,10-100,endelig #,NORDLAND,18.0,2022-07-03T00:48:49+02:00,2022-01-17T01:00:00+01:00,Ukjent årsak,{584A5E87-9B1F-41B7-9360-697F90179AC4},2022-07-03T00:49:43+02:00,1200.0,BØRØYA SLAKTEMERD,1866.0,88332.0,2558.0,- Ihht. gjenfangsplan,True,1.0,3.8,3.0,Laks,Del 2,KLARERT,SALTVANN,Salt,3.0
162,13666,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,13666,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,36417,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,10220,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,13152,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,37657,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,36157,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,13747,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,13149,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,12040,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,34897,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,11488,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,33137,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,11015,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,13205,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,11514,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,24836,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,27576,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,37157,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,12594,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,12628,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,13499,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,13765,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,13811,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,15621,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,28336,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,13499,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,32897,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,32897,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,13765,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,11574,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,33237,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,36118,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,10223,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,11180,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,10674,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,33637,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,34197,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,37357,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,12466,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,13491,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,29756,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,35677,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,12547,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,12237,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,13841,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,12544,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,11435,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,31038,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,45134,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,11543,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,25655,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,33537,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,11543,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,13105,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,11721,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,27976,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,12361,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,11087,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,10995,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,11857,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,22035,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,11162,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,11001,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,45007,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,11204,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,12267,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,10423,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,11565,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,12622,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,12217,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,37217,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,12007,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,11812,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,12763,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,32497,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,10228,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,11461,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,32457,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,31137,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,35957,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,33397,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,38077,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,15455,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,37557,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,10757,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,10264,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,11076,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
