loknr,areal_m2,loknr
45042,29893.10351563,45042
12179,6693.26660156,12179
13242,84201.3046875,13242
45045,757648.33740234,45045
23436,164268.35083008,23436
11771,18584.75610352,11771
10811,45984.83691406,10811
10747,74704.40820313,10747
31577,18000.60839844,31577
10362,0.0,10362
39837,208051.18554688,39837
33117,17894.30078125,33117
11303,159664.41894531,11303
34297,95979.22949219,34297
45046,165407.37988281,45046
45044,77718.32470703,45044
10790,127563.62402344,10790
36119,151233.37695313,36119
26495,140856.37109375,26495
12652,147633.58300781,12652
45047,102289.97363281,45047
45048,115555.71777344,45048
13595,57010.00488281,13595
45049,108907.97558594,45049
13139,163167.93457031,13139
33157,62615.18701172,33157
35657,330083.02734375,35657
11756,4755.58105469,11756
21915,80715.54492188,21915
37057,186078.70507813,37057
29316,0.0,29316
12596,0.0,12596
12595,0.0,12595
10741,0.0,10741
31217,97936.06054688,31217
13226,87313.1496582,13226
13227,6692.0456543,13227
32037,147312.87451172,32037
11651,57728.45239258,11651
13058,9824.62988281,13058
11605,34708.44726563,11605
11272,58135.71386719,11272
32217,65031.296875,32217
45051,101511.90869141,45051
32797,54594.61132813,32797
10837,71683.30957031,10837
19519,3654.60107422,19519
11611,90612.69555664,11611
30837,19882.41479492,30837
12154,14611.25854492,12154
13291,71284.62353516,13291
30560,137153.78173828,30560
33517,138775.16113281,33517
45053,40689.09692383,45053
11543,109765.10961914,11543
45055,40307.06445313,45055
10041,67666.61376953,10041
13499,0.0,13499
27936,0.0,27936
36417,192332.0625,36417
30176,126250.35742188,30176
23056,261636.9140625,23056
28996,50969.84985352,28996
11803,125522.45214844,11803
45058,90308.44213867,45058
45060,276206.72949219,45060
12839,85366.07080078,12839
13554,106303.45019531,13554
33337,157883.46289063,33337
45061,103313.84130859,45061
17177,97853.5612793,17177
11552,9603.55957031,11552
33737,212975.87304688,33737
17575,70596.84545898,17575
33997,165131.91601563,33997
15196,15060.07519531,15196
12127,162784.04003906,12127
11807,158181.2409668,11807
32397,83452.61523438,32397
10087,7856.52441406,10087
31557,329379.89160156,31557
45066,83102.42944336,45066
28296,119296.09179688,28296
10893,95040.74658203,10893
45067,1927.94824219,45067
45068,46384.64355469,45068
45013,119614.1796875,45013
45069,74128.83032227,45069
45070,117262.77636719,45070
11334,120388.00195313,11334
23375,137813.7902832,23375
11193,13891.88769531,11193
11737,20341.1887207,11737
45071,40343.64672852,45071
24535,127699.17089844,24535
45072,59692.68066406,45072
45073,94533.7265625,45073
31338,197272.07519531,31338
22296,90389.34130859,22296
18235,50758.16577148,18235
45076,18262901.6582031,45076
15455,79149.49121094,15455
11365,136204.6328125,11365
38997,90466.10205078,38997
45077,250244.52734375,45077
33797,117894.69506836,33797
38057,22400.50097656,38057
45078,41482.00097656,45078
32277,208126.31982422,32277
10611,102253.01953125,10611
11433,88456.13476563,11433
45079,39270.84521484,45079
45080,88787.54638672,45080
45081,107087.71777344,45081
14018,95464.07885742,14018
11144,137840.42529297,11144
13996,143641.04296875,13996
45083,129283.38769531,45083
11893,153194.22094727,11893
12392,137104.04638672,12392
45084,26667.171875,45084
13036,114136.20336914,13036
26955,104239.71069336,26955
13341,33132.34960938,13341
10898,21328.63769531,10898
45086,40484.07128906,45086
13865,101735.00976563,13865
45087,28544.31201172,45087
45050,92529.34130859,45050
45089,7402.16992188,45089
33237,5859.953125,33237
11644,61261.31030273,11644
12294,79351.15161133,12294
13290,44912.14550781,13290
35617,201161.02929688,35617
13222,43716.00219727,13222
12224,18092.9453125,12224
34737,34350.22973633,34737
45092,119536.18603516,45092
10518,75547.53125,10518
28336,91589.64550781,28336
45003,76445.15673828,45003
10054,138681.89086914,10054
45093,10664.38891602,45093
45017,166287.23535156,45017
14081,95463.96948242,14081
11162,17129.22753906,11162
11571,108625.01342773,11571
32157,56726.77197266,32157
29656,54010.63989258,29656
13225,53171.94140625,13225
10398,146990.75195313,10398
11964,25087.30908203,11964
10447,131966.05273438,10447
45095,70387.65380859,45095
45096,21416.76953125,45096
10113,92825.78173828,10113
10858,140537.44384766,10858
22596,192581.0168457,22596
13629,97676.41235352,13629
45097,105296.54077148,45097
40297,45743.21557617,40297
11684,26694.07983398,11684
45023,90926.90869141,45023
10821,70003.64746094,10821
33477,137773.5703125,33477
45098,112862.08105469,45098
45099,122659.03515625,45099
11687,19633.35205078,11687
13209,24410.73364258,13209
45102,25436.15576172,45102
45103,19799.29199219,45103
12281,157812.09423828,12281
45104,40796.01123047,45104
16497,2167.53149414,16497
30518,40044.20410156,30518
11076,133513.23535156,11076
12047,80484.39160156,12047
45106,96908.8972168,45106
10409,132794.11376953,10409
12594,129828.95117188,12594
30917,52032.04101563,30917
34697,322690.66992188,34697
11355,69415.72851563,11355
45108,69232.67626953,45108
13125,55323.95263672,13125
35977,57759.45947266,35977
13886,144046.88818359,13886
10421,84483.25927734,10421
32537,115364.57617188,32537
13837,127158.67651367,13837
11972,187660.35400391,11972
45114,54559.12304688,45114
12096,1490.07446289,12096
22095,15709.78833008,22095
30717,137481.88232422,30717
13845,193768.11523438,13845
10149,7272.37939453,10149
11351,113810.06542969,11351
45117,111232.87792969,45117
30877,112985.33984375,30877
10332,77231.85351563,10332
39577,31116.2590332,39577
45120,103650.51513672,45120
11689,77315.15405273,11689
45121,56911.83300781,45121
45029,116322.29541016,45029
31457,150382.11914063,31457
13711,52211.61254883,13711
45122,235410.43432617,45122
11652,145256.17358398,11652
12660,88558.625,12660
45123,40200.25634766,45123
20455,121023.51538086,20455
45124,74966.06542969,45124
45127,86541.80908203,45127
31397,183903.140625,31397
45128,50388.03955078,45128
40137,231753.86865234,40137
45129,189253.35742188,45129
36077,191099.54394531,36077
45130,57134.18603516,45130
11913,265576.88989258,11913
11041,120548.77392578,11041
26435,277541.05297852,26435
12048,87652.15014648,12048
11864,33058.73291016,11864
13699,156207.546875,13699
45134,88326.52514648,45134
13503,84824.06640625,13503
12239,70055.3515625,12239
45135,92520.41113281,45135
11719,9066.92626953,11719
39637,42095.86328125,39637
45136,95073.68066406,45136
18898,122067.72998047,18898
13644,161740.32299805,13644
11700,38796.95166016,11700
27476,155899.49804688,27476
10276,71323.65820313,10276
10794,80169.41894531,10794
38897,0.0,38897
13035,7439.02172852,13035
45138,88102.35644531,45138
17235,124392.99072266,17235
45139,94553.19482422,45139
45142,197969.35449219,45142
45141,133902.0769043,45141
11908,30352.53320313,11908
21415,167514.48144531,21415
45143,92298.24755859,45143
39537,133316.79541016,39537
14495,128209.45703125,14495
24155,255612.08398438,24155
12870,102463.7109375,12870
13727,27003.91650391,13727
10803,131907.98828125,10803
45020,138864.16357422,45020
38697,220398.43847656,38697
39997,87451.40722656,39997
45140,120270.10205078,45140
