loknr,areal_m2,loknr
13047,25934.41308594,13047
13055,105191.79370117,13055
13115,3220.48681641,13115
13124,127900.38330078,13124
13220,72647.51660156,13220
13246,74396.68945313,13246
13249,79152.80102539,13249
13284,15541.51806641,13284
13293,19071.88769531,13293
13296,14660.40820313,13296
13297,82764.32519531,13297
13527,30667.828125,13527
13530,94880.31347656,13530
13592,58660.96875,13592
13593,58673.06542969,13593
13669,92988.12402344,13669
13764,73657.50195313,13764
13765,34129.95800781,13765
13782,16022.23242188,13782
13852,101976.02685547,13852
13936,36385.984375,13936
14042,57803.51416016,14042
14076,50831.59472656,14076
14136,129782.80932617,14136
14241,18417.61523438,14241
14243,24904.22460938,14243
14244,61399.56396484,14244
14245,152644.26855469,14245
14676,16235.76367188,14676
14746,27930.66455078,14746
14747,7549.59179688,14747
14748,18658.93505859,14748
14795,29308.671875,14795
14796,19071.12304688,14796
15118,30929.86962891,15118
15338,41866.47583008,15338
15375,20675.40771484,15375
15478,8357.5546875,15478
15495,11716.45117188,15495
15777,172.95751953,15777
15796,317030.71948242,15796
15816,16677.36816406,15816
16165,37916.16015625,16165
16515,25808.64013672,16515
16939,54881.34375,16939
18595,1098.76269531,18595
18639,86494.71044922,18639
18717,80982.16210938,18717
19235,43209.93164063,19235
19336,54593.86254883,19336
19356,130962.30859375,19356
19457,6320.90771484,19457
19738,15303.07666016,19738
19755,43158.81445313,19755
19855,78734.22412109,19855
19875,84267.59960938,19875
19995,94260.78222656,19995
20096,4690.77929688,20096
20796,72422.00488281,20796
20815,56167.46899414,20815
21055,34181.69067383,21055
21337,8545.10791016,21337
21676,136715.99414063,21676
21795,72394.39257813,21795
22035,95761.51806641,22035
22435,55959.09179688,22435
22455,76530.13134766,22455
22796,88303.96972656,22796
22995,254025.48339844,22995
23695,11969.36767578,23695
23816,116089.92871094,23816
24295,63856.32324219,24295
24435,309795.21362305,24435
24456,56604.17333984,24456
24696,66808.99316406,24696
25295,31737.68994141,25295
25695,59322.84545898,25695
25715,278442.22924805,25715
25716,177848.93481445,25716
25717,2137222.11962891,25717
26355,8167.9609375,26355
26575,40330.27172852,26575
26675,24898.63964844,26675
26795,99356.43505859,26795
26876,727.22851563,26876
27095,82124.67797852,27095
27376,759.62304688,27376
27436,108655.61962891,27436
27856,44503.22363281,27856
27876,60073.39990234,27876
27996,90895.8046875,27996
28036,54900.64648438,28036
28856,3795.41210938,28856
28956,66934.13867188,28956
29096,35733.4609375,29096
29296,148800.6015625,29296
29376,58588.58154297,29376
29516,438.39453125,29516
29537,139494.17578125,29537
29576,130774.06054688,29576
29776,64792.56933594,29776
29876,232856.12304688,29876
30097,68949.44873047,30097
30156,74826.44628906,30156
30157,43254.90429688,30157
30377,44460.23046875,30377
30437,65906.25537109,30437
30597,3150.91308594,30597
30857,105820.9921875,30857
30977,51515.78320313,30977
31077,103650.95410156,31077
31437,20110.62353516,31437
31477,4730.77978516,31477
31517,44000.46728516,31517
31637,68266.96972656,31637
31777,41452.9296875,31777
31857,85862.64990234,31857
31959,80908.34960938,31959
32437,30326.24658203,32437
32497,72804.84960938,32497
32557,5351.05371094,32557
32597,129797.76904297,32597
32697,80620.38671875,32697
32897,82716.25146484,32897
32997,57594.56347656,32997
33297,74595.89501953,33297
33657,85952.26464844,33657
33757,8531.12451172,33757
33817,44690.24316406,33817
33857,65265.37744141,33857
34037,20409.10449219,34037
34257,108885.97851563,34257
34277,11382.45898438,34277
34357,69499.32714844,34357
34417,321600.95214844,34417
34437,330755.72460938,34437
34477,81256.61132813,34477
34597,87915.70166016,34597
34637,118480.69335938,34637
34717,18239.87988281,34717
34817,60071.02026367,34817
34857,113637.16015625,34857
34917,128991.04101563,34917
34997,17992.63183594,34997
35377,244509.38525391,35377
35417,25385.41992188,35417
35457,103331.53613281,35457
35637,271669.46777344,35637
35677,82115.97558594,35677
35717,152347.16894531,35717
35737,12838.39306641,35737
35777,42491.37890625,35777
36037,104991.67578125,36037
36117,168561.625,36117
36118,123995.31835938,36118
36217,73583.77880859,36217
36397,82732.9375,36397
36437,20087.26074219,36437
36497,54985.2578125,36497
36517,88090.34619141,36517
36737,92947.01074219,36737
36778,39880.68115234,36778
36877,147156.76416016,36877
37077,185238.78515625,37077
37157,6746.42382813,37157
37197,154734.25585938,37197
37277,121396.72558594,37277
37377,40441.74072266,37377
37397,0.0,37397
37417,74795.78759766,37417
37437,63172.19726563,37437
37517,162838.59350586,37517
37537,266513.58374023,37537
37617,63435.12207031,37617
37697,347373.53125,37697
37837,92353.8359375,37837
37857,101468.23632813,37857
38017,13574.23046875,38017
38037,8613.30859375,38037
38277,92156.29541016,38277
38317,263646.75097656,38317
38377,39707.49511719,38377
38477,120185.7734375,38477
38517,116040.53417969,38517
38537,60768.02392578,38537
38597,62219.05517578,38597
38677,109103.79003906,38677
38757,67007.23339844,38757
38797,105447.71044922,38797
10513,132441.53613281,10513
11966,86075.08666992,11966
13000,77206.48193359,13000
14678,8068.85253906,14678
39017,118070.0,39017
39037,79128.48632813,39037
39057,40018.04833984,39057
39077,40338.453125,39077
11411,3457.30859375,11411
19635,29735.82519531,19635
28636,97234.33837891,28636
39217,71025.18261719,39217
14679,55929.09863281,14679
39317,40333.08398438,39317
12435,131144.56494141,12435
20559,68604.75,20559
21397,201573.25097656,21397
26775,68021.45019531,26775
27215,61006.08886719,27215
27395,1967.05493164,27395
27976,64151.40625,27976
29417,50439.5234375,29417
33457,169970.50390625,33457
33937,330173.93408203,33937
33957,185063.76660156,33957
35477,170952.56884766,35477
36017,161516.98681641,36017
11129,128163.99902344,11129
12380,46399.85058594,12380
13784,47204.03417969,13784
20876,59162.3359375,20876
25315,16013.81005859,25315
26835,16876.78955078,26835
39517,75644.54492188,39517
10212,96341.07177734,10212
13412,74944.11230469,13412
28896,101774.32568359,28896
30537,153760.70214844,30537
39397,139080.79980469,39397
39777,667776.85253906,39777
14019,75147.95214844,14019
13931,135245.62890625,13931
20316,0.0,20316
16216,71892.19921875,16216
10181,88056.99169922,10181
33617,153509.68261719,33617
39597,91865.51611328,39597
22955,135152.39672852,22955
26815,6683.17675781,26815
27176,3320.81738281,27176
32677,104259.19189453,32677
33557,126221.32421875,33557
39857,50135.98925781,39857
39877,64909.33154297,39877
39897,99859.89599609,39897
39937,89019.03051758,39937
39957,99297.87011719,39957
36317,177916.50048828,36317
38297,131698.83935547,38297
40077,29773.60986328,40077
34197,53823.66796875,34197
40138,49057.25830078,40138
40117,150374.43115234,40117
40237,39976.21826172,40237
40257,25513.73632813,40257
40118,121278.08105469,40118
11312,108515.05664063,11312
10037,1336.94604492,10037
10040,491.48242188,10040
10044,1769.75341797,10044
10045,9810.82519531,10045
10050,37219.08740234,10050
10052,6349.36230469,10052
10062,28524.08007813,10062
10078,40576.14160156,10078
10086,30195.23364258,10086
10090,21868.04516602,10090
10091,40894.85620117,10091
10110,135310.58227539,10110
10136,288728.82397461,10136
10137,4136.79296875,10137
10147,10155.92675781,10147
10194,7657.50048828,10194
10216,120853.83789063,10216
10224,77408.39941406,10224
10229,98568.29833984,10229
10240,18403.18505859,10240
10247,33807.96582031,10247
10248,61060.37841797,10248
10256,115036.30322266,10256
10262,125954.49023438,10262
10275,81594.41210938,10275
10291,17721.20825195,10291
10300,77515.03735352,10300
10303,15625.58276367,10303
10305,8919.77929688,10305
10309,39962.88427734,10309
10311,51010.83691406,10311
10317,20832.44067383,10317
10318,144192.66918945,10318
10319,116497.23339844,10319
10324,12742.06640625,10324
10328,12378.81201172,10328
10331,81656.52832031,10331
10338,37921.3918457,10338
10375,108554.54541016,10375
10380,57084.17382813,10380
10382,202246.09423828,10382
10410,27779.61035156,10410
10411,48098.99316406,10411
10417,64001.12060547,10417
10427,69403.82861328,10427
10536,83253.74316406,10536
10550,97214.95019531,10550
10552,88960.46386719,10552
10570,78757.37207031,10570
10614,70709.59570313,10614
10616,192876.09375,10616
10652,192386.74316406,10652
10660,92318.18066406,10660
10724,80528.63769531,10724
10726,139566.39257813,10726
10734,63973.52832031,10734
10735,148200.78808594,10735
10754,48105.88671875,10754
10757,147535.48242188,10757
10759,114878.60644531,10759
10791,96828.79785156,10791
10795,54189.80078125,10795
10796,124990.47070313,10796
10804,73022.01074219,10804
10806,69176.21386719,10806
10808,53920.88867188,10808
10814,53959.49609375,10814
10819,44904.44726563,10819
10822,45325.54003906,10822
10825,90164.53417969,10825
10828,84681.21972656,10828
10838,97147.40136719,10838
10839,79784.62402344,10839
10841,41331.28515625,10841
11326,65819.94921875,11326
11330,43661.1484375,11330
11332,64012.66210938,11332
11338,71810.99121094,11338
11350,98716.81542969,11350
11357,86087.69335938,11357
