lice_limit,loc_nr,lice_year
0.5,10324,2017
0.5,12714,2017
0.5,13852,2017
0.5,20276,2017
0.5,31717,2017
0.5,11365,2017
0.5,10754,2017
0.5,10734,2017
0.5,34617,2017
0.5,32037,2017
0.5,11690,2017
0.5,11907,2017
0.5,11657,2017
0.5,32917,2017
0.5,11559,2017
0.5,11771,2017
0.5,12435,2017
0.5,29096,2017
0.5,17177,2017
0.5,24615,2017
0.5,33597,2017
0.5,12265,2017
0.5,10318,2017
0.5,24735,2017
0.5,33357,2017
0.5,12789,2017
0.5,32317,2017
0.5,33757,2017
0.5,29697,2017
0.5,19995,2017
0.5,22095,2017
0.5,16755,2017
0.5,13949,2017
0.5,13886,2017
0.5,36737,2017
0.5,11318,2017
0.5,18639,2017
0.5,12895,2017
0.5,18717,2017
0.5,13592,2017
0.5,13996,2017
0.5,10783,2017
0.5,31577,2017
0.5,31897,2017
0.5,12011,2017
0.5,36617,2017
0.5,11643,2017
0.5,11511,2017
0.5,26615,2017
0.5,36178,2017
0.5,30257,2017
0.5,11740,2017
0.5,24035,2017
0.5,36778,2017
0.5,13273,2017
0.5,30897,2017
0.5,12896,2017
0.5,10425,2017
0.5,13503,2017
0.5,13838,2017
0.5,32737,2017
0.5,13782,2017
0.5,11969,2017
0.5,11783,2017
0.5,10194,2017
0.5,14679,2017
0.5,12590,2017
0.5,12398,2017
0.5,27376,2017
0.5,11920,2017
0.5,22596,2017
0.5,21957,2017
0.5,13235,2017
0.5,18015,2017
0.5,13119,2017
0.5,21235,2017
0.5,13006,2017
0.5,14136,2017
0.5,26815,2017
0.5,34677,2017
0.5,26955,2017
0.5,33797,2017
0.5,34017,2017
0.5,31177,2017
0.5,10300,2017
0.5,10410,2017
0.5,12036,2017
0.5,10291,2017
0.5,13643,2017
0.5,32417,2017
0.5,15655,2017
0.5,13931,2017
0.5,10808,2017
0.5,10576,2017
0.5,12483,2017
0.5,31257,2017
0.5,35197,2017
0.5,33957,2017
0.5,10536,2017
0.5,12871,2017
0.5,30377,2017
0.5,17176,2017
0.5,11571,2017
0.5,12035,2017
0.5,12897,2017
0.5,32757,2017
0.5,10518,2017
0.5,33218,2017
0.5,13337,2017
0.5,12890,2017
0.5,13784,2017
0.5,13231,2017
0.5,19939,2017
0.5,11786,2017
0.5,21715,2017
0.5,21516,2017
0.5,25235,2017
0.5,10796,2017
0.5,32777,2017
0.5,27856,2017
0.5,11897,2017
0.5,21016,2017
0.5,34397,2017
0.5,11251,2017
0.5,18936,2017
0.5,27095,2017
0.5,12397,2017
0.5,10240,2017
0.5,12115,2017
0.5,29756,2017
0.5,10768,2017
0.5,33057,2017
0.5,13236,2017
0.5,12599,2017
0.5,11957,2017
0.5,11405,2017
0.5,12634,2017
0.5,13654,2017
0.5,12224,2017
0.5,24295,2017
0.5,10876,2017
0.5,14245,2017
0.5,36137,2017
0.5,19977,2017
0.5,11269,2017
0.5,10885,2017
0.5,27176,2017
0.5,33197,2017
0.5,26495,2017
0.5,11665,2017
0.5,30036,2017
0.5,25736,2017
0.5,13783,2017
0.5,11225,2017
0.5,12260,2017
0.5,29656,2017
0.5,13242,2017
0.5,15657,2017
0.5,12348,2017
0.5,13220,2017
0.5,22915,2017
0.5,34797,2017
0.5,27996,2017
0.5,36217,2017
0.5,29576,2017
0.5,12371,2017
0.5,15118,2017
0.5,10087,2017
0.5,31517,2017
0.5,10759,2017
0.5,10560,2017
0.5,10804,2017
0.5,31757,2017
0.5,16281,2017
0.5,12872,2017
0.5,14042,2017
0.5,30437,2017
0.5,16736,2017
0.5,28976,2017
0.5,13225,2017
0.5,31477,2017
0.5,13279,2017
0.5,13297,2017
0.5,12660,2017
0.5,31917,2017
0.5,13573,2017
0.5,11913,2017
0.5,33577,2017
0.5,23755,2017
0.5,11173,2017
0.5,13687,2017
0.5,10409,2017
0.5,13009,2017
0.5,11652,2017
0.5,18275,2017
0.5,36297,2017
0.5,11112,2017
0.5,11689,2017
0.5,12294,2017
0.5,26135,2017
0.5,27015,2017
0.5,32257,2017
0.5,32577,2017
0.5,10723,2017
0.5,24455,2017
0.5,10828,2017
0.5,12215,2017
0.5,10206,2017
0.5,36037,2017
0.5,29476,2017
0.5,10724,2017
0.5,12980,2017
0.5,19755,2017
0.5,33998,2017
0.5,11829,2017
0.5,13339,2017
0.5,18755,2017
0.5,11534,2017
0.5,11763,2017
0.5,13567,2017
0.5,10113,2017
0.5,32598,2017
0.5,13764,2017
0.5,11575,2017
0.5,11201,2017
0.5,29557,2017
0.5,12841,2017
0.5,12855,2017
0.5,19195,2017
0.5,20316,2017
0.5,36797,2017
0.5,10224,2017
0.5,32097,2017
0.5,11809,2017
0.5,30297,2017
0.5,33177,2017
0.5,13803,2017
0.5,12476,2017
0.5,34037,2017
0.5,11719,2017
0.5,10614,2017
0.5,21676,2017
0.5,12239,2017
0.5,25935,2017
0.5,12652,2017
0.5,14040,2017
0.5,11633,2017
0.5,14681,2017
0.5,13222,2017
0.5,13595,2017
0.5,32518,2017
0.5,10837,2017
0.5,32657,2017
0.5,18217,2017
0.5,22775,2017
0.5,19356,2017
0.5,11074,2017
0.5,13831,2017
0.5,12213,2017
0.5,20576,2017
0.5,21337,2017
0.5,35377,2017
0.5,15860,2017
0.5,32217,2017
0.5,24975,2017
0.5,28196,2017
0.5,11714,2017
0.5,10041,2017
0.5,36457,2017
0.5,35997,2017
0.5,13813,2017
0.5,11775,2017
0.5,30216,2017
0.5,12727,2017
0.5,35777,2017
0.5,11803,2017
0.5,20595,2017
0.5,30076,2017
0.5,13234,2017
0.5,34657,2017
0.5,10989,2017
0.5,15460,2017
0.5,10080,2017
0.5,21775,2017
0.5,10898,2017
0.5,12993,2017
0.5,34457,2017
0.5,11928,2017
0.5,11791,2017
0.5,16497,2017
0.5,11116,2017
0.5,24715,2017
0.5,34637,2017
0.5,26295,2017
0.5,12380,2017
0.5,13002,2017
0.5,11238,2017
0.5,13055,2017
0.5,20559,2017
0.5,33557,2017
0.5,28036,2017
0.5,15957,2017
0.5,28476,2017
0.5,11438,2017
0.5,33777,2017
0.5,19355,2017
0.5,11350,2017
0.5,13340,2017
0.5,12744,2017
0.5,26675,2017
0.5,30857,2017
0.5,13699,2017
0.5,12870,2017
0.5,19098,2017
0.5,34257,2017
0.5,23056,2017
0.5,14086,2017
0.5,35977,2017
0.5,10990,2017
0.5,36497,2017
0.5,10840,2017
0.5,13317,2017
0.5,10262,2017
